ips,ports,tcp,rto,rtt,ato,mss,maxcwnd,ssthresh,send,pace,unacked
"['134.197.41.42', '134.197.113.68']","['2:36766', '8:ssh']",cubic,212,10.688,40,1448,10.0,261.0,1.35,2.7125,-1
"['134.197.41.42', '134.197.113.68']","['2:36766', '8:ssh']",cubic,204,2.089,40,1448,277.0,38.0,192.0,230.325,202
"['134.197.41.42', '134.197.113.68']","['2:36766', '8:ssh']",cubic,204,2.405,40,1448,277.0,38.0,166.775,200.125,181
"['134.197.41.42', '134.197.113.68']","['2:36766', '8:ssh']",cubic,204,2.214,40,1448,277.0,38.0,181.1625,217.325,193
"['134.197.41.42', '134.197.113.68']","['2:36766', '8:ssh']",cubic,204,2.444,40,1448,277.0,38.0,164.1125,196.8625,125
"['134.197.41.42', '134.197.113.68']","['2:36766', '8:ssh']",cubic,204,2.332,40,1448,277.0,38.0,172.0,206.3875,164
"['134.197.41.42', '134.197.113.68']","['2:36766', '8:ssh']",cubic,204,2.141,40,1448,277.0,38.0,187.3375,224.725,174
"['134.197.41.42', '134.197.113.68']","['2:36766', '8:ssh']",cubic,204,2.263,40,1448,277.0,38.0,177.2375,212.675,192
"['134.197.41.42', '134.197.113.68']","['2:36766', '8:ssh']",cubic,204,2.406,40,1448,277.0,38.0,166.7125,199.975,155
"['134.197.41.42', '134.197.113.68']","['2:36766', '8:ssh']",cubic,204,2.133,40,1448,232.0,193.0,157.5,188.925,146
"['134.197.41.42', '134.197.113.68']","['2:36766', '8:ssh']",cubic,204,2.179,40,1448,252.0,193.0,167.4625,200.9125,186
